hotel_name,1,2,3,4,5
A maze House,0,0,0,2,19
Alba Spa Hotel,5,14,55,152,410
Alba Wellness Resort By Fusion,2,1,6,12,195
Amy Hostel Hue,0,0,0,3,15
Amy Hotel and Apartment Hu,0,0,0,1,5
Angsana Lang Co,18,25,64,320,1553
April Hostel,0,2,3,6,28
Azerai La Residence Hue,5,23,79,410,1905
Banyan Tree Lang Co,150,193,251,848,1598
Bonjour Hostel,6,1,1,7,92
Buncha House,1,0,0,0,11
Carnosa Hotel,1,1,3,7,12
Casablanca Hotel,0,1,7,24,262
Charming Riverside Hotel,0,0,0,0,290
EMM Hotel Hue,0,10,21,153,1266
Eldora Hotel,7,14,64,247,660
Eva Homestay,1,0,1,6,98
Freedom Hostel,1,0,2,9,84
Friendly House,0,0,0,3,10
Gold Hotel Hue,9,26,95,279,356
HillSide Homestay Hue,0,0,0,1,13
Holiday Diamond Hotel,0,4,29,224,1601
Hong Thien Backpackers Hotel,4,6,25,58,181
Hong Thien Ruby Hotel,0,3,6,47,334
Hotel La Perle Hue,1,2,4,72,712
Hotel Saigon Morin,14,51,180,527,759
Hue Ancient Town Homestay,0,0,0,0,9
Hue Boutique Homestay,1,1,7,13,35
Hue Charming,0,0,0,0,228
Hue Family Boutique Homestay,0,1,0,0,9
Hue Happy Homestay,0,0,4,30,217
Hue Holiday Hotel,0,2,6,70,176
Hue Homestay Riverside,0,0,0,0,6
Hue Nino Hotel,3,4,19,99,1166
Hue Riverside Villa,0,1,1,14,307
Hue Rustic Homestay Apartment,0,0,0,1,13
Hue Serene Palace Hotel,1,6,43,384,1968
Hue Sweethouse 2 Homestay,0,0,1,1,38
Hue Sweethouse Homestay,0,0,0,1,59
Indochine Palace,10,12,48,254,1568
Jade Hotel,109,148,206,704,1371
Jade Scene Hotel,0,1,3,17,255
Kha Hotel,0,0,0,0,24
Khe Sanh Homestay,0,2,6,22,102
Kim s Homestay,2,2,3,6,41
Kly Boutique Hue,0,0,0,0,166
Ks Nam Phuong Riverside Villa,2,0,0,2,80
L Indochine Hotel,0,1,0,3,9
Laguna Lang Co,3,0,2,3,54
Lapochine Beach Resort,4,14,43,223,564
Laurel Hotel Hue,0,1,1,2,8
Maily Hostel,0,0,0,0,14
Maison Vu Tri Vien,1,0,0,0,12
Melia Vinpearl Hue,6,9,27,70,590
Minh Tam Guest House,0,2,2,6,109
Minh Thai Guesthouse,1,1,6,7,50
Moon Sun Hotel,0,1,4,7,36
Muong Thanh Holiday Hue Hotel,3,8,74,166,403
New Valentine Hotel,7,11,23,114,252
New World Hotel,0,0,0,1,7
Ngoc Hung Backpackers Hotel,4,3,11,49,50
ORCHID HOTEL,16,9,70,387,1793
Phong Lan Wild Orchid Guesthouse,0,1,6,28,129
Pilgrimage Village Boutique Resort Spa,12,23,103,359,1892
Romance Hotel,5,3,33,162,333
Rosaleen Boutique Hotel,21,21,52,239,837
Sala Homestay Hue,3,2,7,26,34
Senna Hue Hotel,3,0,4,22,262
Shark Homestay,0,0,0,0,32
Silk Path Grand Hue Hotel,0,0,0,0,193
Sunny B Hotel,3,3,1,14,311
Sunny Fine Guesthouse,0,0,4,14,133
Sunshine Hostel,3,2,4,6,69
Sunshine Hostel 3 Hue,4,9,7,35,152
TOVO Hostel,1,1,1,4,48
TTC Imperial Hotel,18,36,103,316,1034
Tam Family Homestay hu,0,0,0,1,51
Tam Tinh Vien Homestay,0,0,0,5,44
Than Thien Hotel Friendly Hotel,0,0,0,0,737
Thanh An Guesthouse,1,4,7,22,46
Thanh Lich Hue Hotel,3,7,14,67,544
Thanh Lich Royal Boutique Hotel,13,6,49,111,600
The Beach Bar Hue,2,10,17,26,60
The Chum Boutique,0,1,1,3,8
The Dreamers,0,0,1,1,14
The Purple Hue BnB Central Hub,0,1,0,1,27
The Scarlett Boutique Hotel,1,1,8,79,872
Tigon Hostel,2,1,1,13,128
Timothy Homestay,2,1,0,0,25
Unknown,0,0,0,0,2167
Vedana Lagoon Resort Spa,6,7,30,117,840
Vietnam Backpacker Hostels Hue,0,0,0,0,380
Villa Hue,4,6,29,53,87
Vina Hotel Hue,6,5,29,96,214
Why Not Hostel,0,0,0,0,211
www.tripadvisor.com,0,0,0,0,3706
