trip_type,hotel_name,reviews,avg_star
Solo,www.tripadvisor.com,491,5.0
Solo,Why Not Hostel,70,5.0
Solo,Sunny B Hotel,14,5.0
Business,Thanh Lich Hue Hotel,20,5.0
Business,Than Thien Hotel Friendly Hotel,6,5.0
Business,Sunny B Hotel,3,5.0
Friends,Vietnam Backpacker Hostels Hue,134,5.0
Friends,www.tripadvisor.com,620,5.0
Friends,Why Not Hostel,78,5.0
Couple,Hue Ancient Town Homestay,5,5.0
Couple,Hue Charming,113,5.0
Family,Kly Boutique Hue,24,5.0
Couple,HillSide Homestay Hue,3,5.0
Family,www.tripadvisor.com,463,5.0
Family,Why Not Hostel,6,5.0
